OrderID,Region,Country,CustID,Customer_Name,ProductSKU,Product_Category,OrderLineItem,OrderQuantity,ProductCost,ProductPrice,OrderDate,AcquisitionSource,TransactionID,Fraud,PaymentMethod,CardType,Gender
SO45080,Northwest,United States,14657,JOHN THOMAS,BK-R50B-58,Plants,1,1,413.1463,699.0982,01-01-2020,"Meta-ads",I4127227587819694,FALSE,CREDITCARD,DISCOVER,M
SO45079,Southwest,United States,29255,KYLE WASHINGTON,BK-R93R-48,Plants,1,1,2171.2942,3578.27,01-01-2020,"Google-ads",E9525730529761877,FALSE,CREDITCARD,MC,M
SO45082,Australia,Australia,11455,ROSS SANZ,BK-M82B-44,Plants,1,1,1898.0944,3374.99,01-01-2020,"Google-ads",Z6376643485803420,FALSE,CREDITCARD,VISA,M
SO45081,Canada,Canada,26782,SETH LEWIS,BK-R50B-44,Plants,1,1,413.1463,699.0982,01-01-2020,"Google-ads",R8609290025411138,FALSE,CREDITCARD,VISA,M
SO45083,United Kingdom,United Kingdom,14947,ALEJANDRO CHEN,BK-R93R-48,Plants,1,1,2171.2942,3578.27,02-01-2020,"Meta-ads",Y9572700698484288,FALSE,CREDITCARD,VISA,M
SO45084,Southwest,United States,29143,GRACE JENKINS,BK-R93R-62,Plants,1,1,2171.2942,3578.27,02-01-2020,"Yt-Campaign",W9847720367646182,FALSE,CREDITCARD,MC,M
SO45086,Australia,Australia,18747,JACQUELYN DIAZ,BK-R93R-56,Plants,1,1,2171.2942,3578.27,02-01-2020,"Google-ads",U5867366267578316,FALSE,CREDITCARD,VISA,M
SO45085,Australia,Australia,18746,REGINALD ALVAREZ,BK-R93R-48,Plants,1,1,2171.2942,3578.27,02-01-2020,"Google-ads",K2049522469066731,FALSE,CREDITCARD,MC,M
SO45093,Australia,Australia,18906,ADRIENNE GUTIERREZ,BK-R93R-48,Plants,1,1,2171.2942,3578.27,03-01-2020,"Google-ads",Y3541188796364090,FALSE,CREDITCARD,VISA,M
SO45090,Southwest,United States,29170,ALEXANDRA ADAMS,BK-R93R-62,Plants,1,1,2171.2942,3578.27,03-01-2020,"Yt-Campaign",F5689640947178158,FALSE,CREDITCARD,,M
